time,open,high,low,close,tick_volume,spread,real_volume
2025-07-23 12:00:00,1.17257,1.17265,1.17242,1.17263,140,2,0
2025-07-23 12:01:00,1.17264,1.17276,1.17261,1.1727400000000001,136,2,0
2025-07-23 12:02:00,1.1727400000000001,1.17292,1.17264,1.17292,123,2,0
2025-07-23 12:03:00,1.17292,1.17297,1.17285,1.17286,57,2,0
2025-07-23 12:04:00,1.17286,1.17293,1.1728399999999999,1.17289,90,2,0
2025-07-23 12:05:00,1.17289,1.17289,1.17281,1.1728399999999999,55,2,0
2025-07-23 12:06:00,1.1728399999999999,1.17285,1.17273,1.1728,66,2,0
2025-07-23 12:07:00,1.1728,1.17282,1.17269,1.17273,54,2,0
2025-07-23 12:08:00,1.17273,1.17277,1.17264,1.17264,48,2,0
2025-07-23 12:09:00,1.17265,1.17271,1.17261,1.17264,75,2,0
2025-07-23 12:10:00,1.17264,1.17281,1.17262,1.1728,62,2,0
2025-07-23 12:11:00,1.17281,1.17281,1.17269,1.17276,70,2,0
2025-07-23 12:12:00,1.17276,1.1728,1.17269,1.1728,60,2,0
2025-07-23 12:13:00,1.1728,1.17282,1.1727400000000001,1.17281,51,2,0
2025-07-23 12:14:00,1.17281,1.1728399999999999,1.17276,1.1728,56,2,0
2025-07-23 12:15:00,1.17281,1.17287,1.17279,1.17281,66,2,0
2025-07-23 12:16:00,1.17281,1.17309,1.17281,1.17301,91,2,0
2025-07-23 12:17:00,1.17301,1.17304,1.1729,1.17297,64,2,0
2025-07-23 12:18:00,1.17297,1.17311,1.17296,1.17311,70,2,0
2025-07-23 12:19:00,1.17311,1.17329,1.17311,1.17326,91,2,0
2025-07-23 12:20:00,1.17326,1.17333,1.17309,1.1731,91,2,0
2025-07-23 12:21:00,1.1731,1.17311,1.1728,1.17281,97,2,0
2025-07-23 12:22:00,1.1728,1.173,1.1728,1.17295,60,2,0
2025-07-23 12:23:00,1.17295,1.17301,1.17293,1.17294,35,2,0
2025-07-23 12:24:00,1.17293,1.173,1.17287,1.17292,59,2,0
2025-07-23 12:25:00,1.17292,1.173,1.17283,1.17283,60,2,0
2025-07-23 12:26:00,1.17283,1.1728399999999999,1.17265,1.17271,59,2,0
2025-07-23 12:27:00,1.17271,1.17271,1.17253,1.17254,45,2,0
2025-07-23 12:28:00,1.17253,1.17264,1.1724700000000001,1.17263,80,2,0
2025-07-23 12:29:00,1.17264,1.17264,1.17252,1.17254,76,2,0
2025-07-23 12:30:00,1.17254,1.17256,1.17242,1.17245,78,2,0
2025-07-23 12:31:00,1.17245,1.17248,1.17202,1.17208,91,2,0
2025-07-23 12:32:00,1.17207,1.17243,1.17202,1.17242,102,2,0
2025-07-23 12:33:00,1.17241,1.17256,1.17239,1.17243,95,2,0
2025-07-23 12:34:00,1.17244,1.17251,1.17243,1.17246,98,2,0
2025-07-23 12:35:00,1.17246,1.17249,1.17234,1.17236,63,2,0
2025-07-23 12:36:00,1.17234,1.17244,1.1723,1.17231,58,2,0
2025-07-23 12:37:00,1.17231,1.17231,1.1721300000000001,1.17218,77,2,0
2025-07-23 12:38:00,1.17218,1.17231,1.17218,1.17229,55,2,0
2025-07-23 12:39:00,1.17229,1.17231,1.1722299999999999,1.17225,42,2,0
